Name,Genre,Year,Length,Rating,Description
Wednesday,Comedy,2022,TV-14,8.0,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart a killing spree, and solve the mystery that embroiled her parents."
Happy Gilmore 2,Comedy,2025,1h 54m,6.1,Revisit Happy Gilmore's golf career after his win in the Tour Championship.
The Naked Gun,Comedy,2025,1h 25m,7.0,Only one man has the particular set of skills - to lead Police Squad and save the world.
Nobody 2,Comedy,2025,1h 29m,6.8,"Suburban dad Hutch Mansell, a former lethal assassin, is pulled back into his violent past after thwarting a home invasion, setting off a chain of events that unravels secrets about his wife Becca's past and his own."
KPop Demon Hunters,Comedy,2025,1h 35m,7.7,A world-renowned K-Pop girl group balance their lives in the spotlight with their secret identities as demon hunters.
Eddington,Comedy,2025,2h 28m,6.8,"In May of 2020, a standoff between a small-town sheriff and mayor sparks a powder keg as neighbor is pitted against neighbor in Eddington, New Mexico."
Freakier Friday,Comedy,2025,1h 50m,7.0,"22 years after Tess and Anna endured an identity crisis, Anna now has a daughter and a soon-to-be stepdaughter. As they navigate the challenges that come when two families merge, Tess and Anna discover that lightning might strike twice."
Materialists,Comedy,2025,1h 56m,6.4,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex."
Twisted Metal,Comedy,2023,TV-MA,7.3,An outsider must deliver a mysterious package across a post-apocalyptic wasteland in exchange for a better life.
The Pickup,Comedy,2025,1h 34m,5.4,A routine cash pickup turns into a deadly pursuit when two mismatched armored truck drivers are ambushed by ruthless criminals with plans beyond the cash.
Peacemaker,Comedy,2022,TV-MA,8.3,"Picking up where The Suicide Squad (2021) left off, Peacemaker returns home after recovering from his encounter with Bloodsport - only to discover that his freedom comes at a price."
My Oxford Year,Comedy,2025,1h 52m,5.9,"When Anna, an ambitious young American woman, sets out for Oxford University to fulfill a childhood dream, she has her life completely on track until she meets a charming and clever local who profoundly alters both of their lives."
And Just Like That...,Comedy,2021,TV-MA,5.6,"The series follows Carrie, Miranda, and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s."
The Bear,Comedy,2022,TV-MA,8.5,A young chef from the fine dining world returns to Chicago to run his family's sandwich shop.
Leanne,Comedy,2025,TV-MA,7.1,"A grandmother's life is upended when her husband leaves her after 33 years of marriage. She navigates this new chapter with the help of her family, grace, dignity, and J-ello salad."
South Park,Comedy,1997,TV-MA,8.7,"Follows the misadventures of four foul mouthed and dirty minded irreverent grade-schoolers, Stan Marsh, Kyle Broflovski, Eric Cartman and Kenny McCormick who live in the quiet, dysfunctional mountain town of South Park, Colorado."
It's Always Sunny in Philadelphia,Comedy,2005,TV-MA,8.8,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.
The White Lotus,Comedy,2021,TV-MA,8.0,The exploits of various guests and employees of a luxury resort over the span of a week.
King of the Hill,Comedy,1997,TV-14,7.6,"A straight-laced propane salesman in Arlen, Texas tries to deal with the wacky antics of his family and friends, while also trying to keep his son in line."
Resident Alien,Comedy,2021,TV-14,8.0,A crash-landed alien takes on the identity of a small-town Colorado doctor and slowly begins to wrestle with the moral dilemma of his secret mission on Earth.
The Roses,Comedy,2025,1h 45m,N/A,A tinderbox of competition and resentments underneath the façade of a picture-perfect couple is ignited when the husband's professional dreams come crashing down.
How to Train Your Dragon,Comedy,2025,2h 5m,7.9,"As an ancient threat endangers both Vikings and dragons alike on the isle of Berk, the friendship between Hiccup, an inventive Viking, and Toothless, a Night Fury dragon, becomes the key to both species forging a new future together."
Fixed,Comedy,2025,1h 27m,5.3,"Bull, an average, all-around good dog, discovers he's going to be neutered in the morning. He realizes he needs one last adventure with his pack of buddies, as these are the last 24 hours with his balls. What could go wrong?"
Honey Don't!,Comedy,2025,1h 28m,5.8,"A dark comedy about small-town private investigator Honey O'Donahue, who delves into a series of strange deaths tied to a mysterious church."
Marty Supreme,Comedy,2025,N/A,N/A,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness."
Americana,Comedy,2023,1h 47m,6.0,The lives of local outsiders and outcasts violently intertwine when a rare Lakota Ghost shirt falls onto the black market in a small South Dakota town.
Happy Gilmore,Comedy,1996,1h 32m,7.0,"After his grandmother's house is repossessed by the IRS, a bad tempered hockey player takes his talents to golf to earn the big bucks and get his grandmothers house back."
The Bad Guys 2,Comedy,2025,1h 44m,7.1,"The Bad Guys are struggling to find trust and acceptance in their newly minted lives as Good Guys, when they are pulled out of retirement and forced to do ""one last job"" by an all-female squad of criminals."
Platonic,Comedy,2023,TV-MA,7.2,Former childhood best friends reconnect as adults and try to get past the rift that led to their falling out.
The Boys,Comedy,2019,TV-MA,8.6,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.
