Name,Genre,Year,Length,Rating,Description
Alien: Earth,Horror,2025,TV-MA,7.7,"When a mysterious space vessel crash-lands on Earth, a young woman and a ragtag group of tactical soldiers make a fateful discovery that puts them face-to-face with the planet's greatest threat."
Weapons,Horror,2025,2h 8m,7.9,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance."
Together,Horror,2025,1h 42m,6.9,"Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country. With tensions already flaring, an encounter with an unnatural force threatens to corrupt their lives, their love and their flesh."
War of the Worlds,Horror,2025,1h 31m,2.5,"A colossal invasion of Earth is coming in this off-kilter take on the legendary novel of the same name, filled with present-day themes of technology, government surveillance, and privacy."
Sinners,Horror,2025,2h 17m,7.6,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
28 Years Later,Horror,2025,1h 55m,6.7,"A group of survivors of the rage virus live on a small island. When one of the group leaves the island on a mission into the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors."
Bring Her Back,Horror,2025,1h 44m,7.2,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.
The Sandman,Horror,2022,TV-MA,7.7,"Upon escaping after decades of imprisonment by a mortal wizard, Dream, the personification of dreams, sets about to reclaim his lost equipment."
Stranger Things,Horror,2016,TV-14,8.6,"In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries."
Barbarian,Horror,2022,1h 42m,7.0,A woman staying at an Airbnb discovers that the house she has rented is not what it seems.
Descendent,Horror,2025,1h 36m,4.9,"A troubled LA school guard, haunted by family tragedy, experiences strange visions after a mysterious light appears in the sky. As his wife's due date approaches, he races to face his demons before his growing obsession consumes him."
Final Destination: Bloodlines,Horror,2025,1h 50m,6.8,"Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them."
The Monkey,Horror,2025,1h 38m,6.0,"When twin brothers Bill and Hal find their father's old monkey toy in the attic, a series of gruesome deaths start. The siblings decide to throw the toy away and move on with their lives, growing apart over the years."
Supernatural,Horror,2005,TV-14,8.4,"Two brothers follow their father's footsteps as hunters, fighting evil supernatural beings of many kinds, including monsters, demons, and gods that roam the earth."
Attack on Titan,Horror,2013,TV-MA,9.1,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction."
The Last of Us,Horror,2023,TV-MA,8.5,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope."
The Walking Dead,Horror,2010,TV-MA,8.1,Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
The Institute,Horror,2025,TV-MA,6.8,"A teen genius wakes up in a strange place full of children who got there the same way he did, and who all, like him, possess unusual abilities."
Death of a Unicorn,Horror,2025,1h 47m,5.9,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature's miraculous curative properties."
Alien: Romulus,Horror,2024,1h 59m,7.1,"While scavenging the deep ends of a derelict space station, a group of young space colonists come face to face with the most terrifying life form in the universe."
Nosferatu,Horror,2024,2h 12m,7.2,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
The Conjuring: Last Rites,Horror,2025,2h 15m,N/A,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.
The Substance,Horror,2024,2h 21m,7.2,"A fading celebrity takes a black-market drug: a cell-replicating substance that creates a younger, better version of herself."
Alien,Horror,1979,1h 57m,8.5,"After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform."
Dangerous Animals,Horror,2025,1h 38m,6.4,"When Zephyr, a savvy and free-spirited surfer, is abducted by a shark-obsessed serial killer and held captive on his boat, she must figure out how to escape before he carries out a ritualistic feeding to the sharks below."
Heretic,Horror,2024,1h 51m,7.0,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.
From,Horror,2022,TV-MA,7.8,"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest."
Good Boy,Horror,2025,1h 12m,7.0,"A loyal dog moves to a rural family home with his owner Todd, only to discover supernatural forces lurking in the shadows. As dark entities threaten his human companion, the brave pup must fight to protect the one he loves most."
Dracula: A Love Tale,Horror,2025,2h 9m,6.2,"After his wife dies, a 15th century prince renounces God and becomes a vampire. Centuries later in 19th century London, he sees a woman resembling his late wife and pursues her, sealing his own fate."
Until Dawn,Horror,2025,1h 43m,5.7,"A group of friends trapped in a time loop, where mysterious foes chase and kill them in gruesome ways, must survive until dawn to escape it."
